;;;;;;;;;;;;
Dimensió 1;;Dimensió 2;;Dimensió 3;;;;;;;;
LN00000 CENTRAL;;CCC00002;CENTRAL CAL BLAY;;???;;;;;;;
;;CCC00003;DECORACIO;DCD0000;PERSONAL D;;;;;;;
;;CCC00004;LOGISTICA;DCL0001;ADMINSTRACIO;;;;;;;
;;;;DCL0002;PREPARADOR;;;;;;;
;;;;DCL0003;RENTADOR;;;;;;;
;;;;DCL0004;TRANSPORT;;;;;;;
;;CCC00005;OFICINES CAL BLAY;DCO0001;DIRECCIO;;;;;;;
;;;;DCO0002;PRODUCCIO;;;;;;;
;;;;DCO0003;COMPRES;;;;;;;
;;;;DCO0004;RECURSOS HUMANS;;;;;;;
;;;;DCO0005;MARKETING;;;;;;;
;;;;DCO0006;COMPTABILITAT;;;;;;;
;;;;DCO0007;ADMINISTRACIO;;;;;;;
;;CCC00006;MANTENIMENT;DCM0001;PERSONAL M;;;;;;;
;;CCC00007;CUINA CENTRAL;DCC0001;ADMINISTRACIO;;;;;;;
;;;;DCC0002;QUALITAT;;;;;;;
;;;;DCC0003;I+D;;;;;;;
;;;;DCC0004;PRODUCCIO;;;;;;;
;;;;DCC0005;CATERING;;;;;;;
;;;;DCC0006;PASTISSERIA;;;;;;;
;;;;DPP0002;BASES;;;;;;;
;;;;DPP0003;MAGATZEMS;;;;;;;
;;;;DCC0007;NETEJA CUINA CENTRAL;;;;;;;
;;CCC00008;SERVEIS EXTERNS;DCE0001;SALA;;;;;;;
;;;;DCE0002;LOGISTIC;;;;;;;
;;;;DCE0003;NETEJA;;;;;;;
;;;;DCE0004;CUINA;;;;;;;
;;CCA00002;AGENDA MIRADOR;;;;;;;;;
;;CCA00007;AGENDA MASIA ESPLUGUES;;;;;;;;;
;;CCA00008;AGENDA SESOLIVERES;;;;;;;;;
;;CCA00009;AGENDA VILAR DE LA DUQUESA;;;;;;;;;
;;CCC00009;ACTIVITATS FONT DE LA CANYA;;;;;;;;;
;;CCC00023;ACTIVITATS AGENDA;;;;;;;;;
LN00001 RESTAURANTS;;CCR00000;ADMINISTRACIO RESTAURANTS;DRA0001;PERSONAL ADMIN REST;;;;;;;
;;CCR00001;RESTAURANT ORIGENS;DRO0001;NETEJA;;;;;;;
;;;;DRO0002;CUINA;;;;;;;
;;;;DRO0003;SALA;;;;;;;
;;;;DRO0004;COMERCIAL;;;;;;;
;;CCR00002;RESTAURANT NAUTIC;DRN0001;NETEJA;;;;;;;
;;;;DRN0002;CUINA;;;;;;;
;;;;DRN0003;SALA;;;;;;;
;;;;DRN0004;COMERCIAL;;;;;;;
;;CCR00003;RESTAURANT LA MASIA D'ESPLUGUES;DRM0001;NETEJA;;;;;;;
;;;;DRM0002;CUINA;;;;;;;
;;;;DRM0003;SALA;;;;;;;
;;;;DRM0004;COMERCIAL;;;;;;;
;;CCR00004;RESTAURANT CAMP NOU;DRC0001;NETEJA;;;;;;;
;;;;DRC0002;CUINA;;;;;;;
;;;;DRC0003;SALA;;;;;;;
;;;;DRC0004;COMERCIAL;;;;;;;
;;CCR00005;RESTAURANT TARRACO;DRT0001;NETEJA;;;;;;;
;;;;DRT0002;CUINA;;;;;;;
;;;;DRT0003;SALA;;;;;;;
;;;;DRT0004;COMERCIAL;;;;;;;
;;CCR00006;RESTAURANT MIRADOR DE LES CAVES;DRI0001;NETEJA;;;;;;;
;;;;DRI0002;CUINA;;;;;;;
;;;;DRI0003;SALA;;;;;;;
;;;;DRI0004;COMERCIAL;;;;;;;
;;CCR00007;RESTAURANT JUNO HOUSE;DRJ0001;NETEJA;;;;;;;
;;;;DRJ0002;CUINA;;;;;;;
;;;;DRJ0003;SALA;;;;;;;
;;;;DRJ0004;COMERCIAL;;;;;;;
;;;;DRJ0004;COMERCIAL;;;;;;;
;;CCR00008;RESTAURANT FONT  DE LA CANYA;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;CCR00009;RESTAURANT VALKIRIA;DRV0001;NETEJA;;;;;;;
;;;;DRV0002;CUINA;;;;;;;
;;;;DRV0003;SALA;;;;;;;
;;;;DRV0004;COMERCIAL;;;;;;;
;;CCR00010;RESTAURANT SOLIVER;DRS0001;NETEJA;;;;;;;
;;;;DRS0002;CUINA;;;;;;;
;;;;DRS0003;SALA;;;;;;;
;;;;DRS0004;COMERCIAL;;;;;;;
LN00002 EMPRESA;;CCE00000;ADMINISTRACIO EMPRESA;DEX0001;COMERCIAL;;;;;;;
;;CCE00001;EMPRESA FDLC;DEF0001;SALA;;;;;;;
;;;;DEF0002;CUINA;;;;;;;
;;;;DEF0003;NETEJA;;;;;;;
;;;;DEF0004;LOGISTICA;;;;;;;
;;CCE00002;EMPRESA TARRACO;DET0001;SALA;;;;;;;
;;;;DET0002;CUINA;;;;;;;
;;;;DET0003;NETEJA;;;;;;;
;;;;DET0004;LOGISTICA;;;;;;;
;;CCE00003;EMPRESA CLOS LA PLANA;DEC0001;SALA;;;;;;;
;;;;DEC0002;CUINA;;;;;;;
;;;;DEC0003;NETEJA;;;;;;;
;;;;DEC0004;LOGISTICA;;;;;;;
;;CCE00004;EMPRESA EVENTS;DEE0001;SALA;;;;;;;
;;;;DEE0002;CUINA;;;;;;;
;;;;DEE0003;NETEJA;;;;;;;
;;;;DEE0004;LOGISTICA;;;;;;;
;;CCE00005;EMPRESA JUNO;DEJ0001;SALA;;;;;;;
;;;;DEJ0002;CUINA;;;;;;;
;;;;DEJ0003;NETEJA;;;;;;;
;;;;DEJ0004;LOGISTICA;;;;;;;
;;CCE00006;EMPRESA LA MASIA;DEM0001;SALA;;;;;;;
;;;;DEM0002;CUINA;;;;;;;
;;;;DEM0003;NETEJA;;;;;;;
;;;;DEM0004;LOGISTICA;;;;;;;
;;CCE00007;EMPRESA MIRADOR;DEI0001;SALA;;;;;;;
;;;;DEI0002;CUINA;;;;;;;
;;;;DEI0003;NETEJA;;;;;;;
;;;;DEI0004;LOGISTICA;;;;;;;
;;CCE00008;EMPRESA SESOLIVERES;DES0001;SALA;;;;;;;
;;;;DES0002;CUINA;;;;;;;
;;;;DES0003;NETEJA;;;;;;;
;;;;DES0004;LOGISTICA;;;;;;;
;;;;DES0005;COMERCIAL;;;;;;;
;;CCE00009;EMPRESA JOSEP MASSSACHS;DEP0001;SALA;;;;;;;
;;;;DEP0002;CUINA;;;;;;;
;;;;DEP0003;NETEJA;;;;;;;
;;;;DEP0004;LOGISTICA;;;;;;;
;;CCE00010;EMPRESA VALKIRIA;DEV0001;SALA;;;;;;;
;;;;DEV0002;CUINA;;;;;;;
;;;;DEV0003;LOGISTICA;;;;;;;
;;;;DEV0004;COMERCIAL VALKIRIA;;;;;;;
;;CCE00011;EMPRESA VILAR DE LA DUQUESA;DEQ0001;SALA;;;;;;;
;;;;DEQ0002;CUINA;;;;;;;
;;;;DEQ0003;LOGISTICA;;;;;;;
